
### Request header
###	request=datos
###	timeStart=2026-01-20
###	timeEnd=2026-05-05
###	seriesId=39718
###	siteCode=7396
###	varId=2
###	format=csv
### Response header
###	responseTimestamp=2026-05-04T10:23:56
###	sitecode=7396
###	seriesid=39718
###	seriesId=39718
###	seriesmetadata=procId:1,varId:2,var_abrev:altura,unit_abrev:m,seriesId:39718,unitId:11,proc_abrev:medicion
###	sitemetadata=geom:coordinates:-62.10138889,-38.89583333,type:Point,estacion_abrev:null,redId:23,siteCode:7396,red_name:Mareógrafos SHN
###	timeStart=20260120T000000
###	request=datos
###	timeEnd=20260505T000000
###	queryUrl=request=datos&timeStart=2026-01-20&timeEnd=2026-05-05&seriesId=39718&siteCode=7396&varId=2&format=csv
###	creationTime=2026-05-04T10:23:56-03:00

### obs_id,timestart,timeend,valor,timeupdate
27315619334,2026-03-11 11:45:00,2026-03-11 11:45:00,3.81,2026-03-18 11:00:16.478663
27315619335,2026-03-11 12:45:00,2026-03-11 12:45:00,3.71,2026-03-18 11:00:16.478663
27315619336,2026-03-11 13:45:00,2026-03-11 13:45:00,3.43,2026-03-18 11:00:16.478663
27315619337,2026-03-11 14:45:00,2026-03-11 14:45:00,2.85,2026-03-18 11:00:16.478663
27315619338,2026-03-11 15:45:00,2026-03-11 15:45:00,1.77,2026-03-18 11:00:16.478663
27315619339,2026-03-11 16:45:00,2026-03-11 16:45:00,0.85,2026-03-18 11:00:16.478663
27315619340,2026-03-11 17:45:00,2026-03-11 17:45:00,0.49,2026-03-18 11:00:16.478663
27315619341,2026-03-11 18:45:00,2026-03-11 18:45:00,0.76,2026-03-18 11:00:16.478663
27315619342,2026-03-11 19:45:00,2026-03-11 19:45:00,1.92,2026-03-18 11:00:16.478663
27315619343,2026-03-11 20:45:00,2026-03-11 20:45:00,2.64,2026-03-18 11:00:16.478663
27315619344,2026-03-11 21:45:00,2026-03-11 21:45:00,3.4,2026-03-18 11:00:16.478663
27315619345,2026-03-11 22:45:00,2026-03-11 22:45:00,3.89,2026-03-18 11:00:16.478663
27315619346,2026-03-11 23:45:00,2026-03-11 23:45:00,4.07,2026-03-18 11:00:16.478663
27315619347,2026-03-12 00:45:00,2026-03-12 00:45:00,4,2026-03-18 11:00:16.478663
27315619348,2026-03-12 01:45:00,2026-03-12 01:45:00,3.64,2026-03-18 11:00:16.478663
27315619349,2026-03-12 02:45:00,2026-03-12 02:45:00,2.7,2026-03-18 11:00:16.478663
27315619350,2026-03-12 03:45:00,2026-03-12 03:45:00,1.92,2026-03-18 11:00:16.478663
27315619351,2026-03-12 04:45:00,2026-03-12 04:45:00,0.71,2026-03-18 11:00:16.478663
27315619352,2026-03-12 05:45:00,2026-03-12 05:45:00,-0.05,2026-03-18 11:00:16.478663
27315619353,2026-03-12 06:45:00,2026-03-12 06:45:00,-0.27,2026-03-18 11:00:16.478663
27315619354,2026-03-12 07:45:00,2026-03-12 07:45:00,0.15,2026-03-18 11:00:16.478663
27315619355,2026-03-12 08:45:00,2026-03-12 08:45:00,1.15,2026-03-18 11:00:16.478663
27315619356,2026-03-12 09:45:00,2026-03-12 09:45:00,2.19,2026-03-18 11:00:16.478663
27315619357,2026-03-12 10:45:00,2026-03-12 10:45:00,3.15,2026-03-18 11:00:16.478663
27315619358,2026-03-12 11:45:00,2026-03-12 11:45:00,3.71,2026-03-18 11:00:16.478663
27315619359,2026-03-12 12:45:00,2026-03-12 12:45:00,3.94,2026-03-18 11:00:16.478663
27315619360,2026-03-12 13:45:00,2026-03-12 13:45:00,3.86,2026-03-18 11:00:16.478663
27315619361,2026-03-12 14:45:00,2026-03-12 14:45:00,3.49,2026-03-18 11:00:16.478663
27315619362,2026-03-12 15:45:00,2026-03-12 15:45:00,2.82,2026-03-18 11:00:16.478663
27315619363,2026-03-12 16:45:00,2026-03-12 16:45:00,1.95,2026-03-18 11:00:16.478663
27315619364,2026-03-12 17:45:00,2026-03-12 17:45:00,1.13,2026-03-18 11:00:16.478663
27315619365,2026-03-12 18:45:00,2026-03-12 18:45:00,0.86,2026-03-18 11:00:16.478663
27315619366,2026-03-12 19:45:00,2026-03-12 19:45:00,1.39,2026-03-18 11:00:16.478663
27315619367,2026-03-12 20:45:00,2026-03-12 20:45:00,2.34,2026-03-18 11:00:16.478663
27315619368,2026-03-12 21:45:00,2026-03-12 21:45:00,3.23,2026-03-18 11:00:16.478663
27315619369,2026-03-12 22:45:00,2026-03-12 22:45:00,3.88,2026-03-18 11:00:16.478663
27315619370,2026-03-12 23:45:00,2026-03-12 23:45:00,4.19,2026-03-18 11:00:16.478663
27315619371,2026-03-13 00:45:00,2026-03-13 00:45:00,4.31,2026-03-18 11:00:16.478663
27315619372,2026-03-13 01:45:00,2026-03-13 01:45:00,4.14,2026-03-18 11:00:16.478663
27315619373,2026-03-13 02:45:00,2026-03-13 02:45:00,3.64,2026-03-18 11:00:16.478663
27315619374,2026-03-13 03:45:00,2026-03-13 03:45:00,2.81,2026-03-18 11:00:16.478663
27315619375,2026-03-13 04:45:00,2026-03-13 04:45:00,1.85,2026-03-18 11:00:16.478663
27315619376,2026-03-13 05:45:00,2026-03-13 05:45:00,0.87,2026-03-18 11:00:16.478663
27315619377,2026-03-13 06:45:00,2026-03-13 06:45:00,0.07,2026-03-18 11:00:16.478663
27315619378,2026-03-13 07:45:00,2026-03-13 07:45:00,0.05,2026-03-18 11:00:16.478663
27315619379,2026-03-13 08:45:00,2026-03-13 08:45:00,0.79,2026-03-18 11:00:16.478663
27315619380,2026-03-13 09:45:00,2026-03-13 09:45:00,1.73,2026-03-18 11:00:16.478663
27315619381,2026-03-13 10:45:00,2026-03-13 10:45:00,2.58,2026-03-18 11:00:16.478663
27315619382,2026-03-13 11:45:00,2026-03-13 11:45:00,3.47,2026-03-18 11:00:16.478663
27315619383,2026-03-13 12:45:00,2026-03-13 12:45:00,3.71,2026-03-18 11:00:16.478663
27315619384,2026-03-13 13:45:00,2026-03-13 13:45:00,3.79,2026-03-18 11:00:16.478663
27315619385,2026-03-13 14:45:00,2026-03-13 14:45:00,3.54,2026-03-18 11:00:16.478663
27315619386,2026-03-13 15:45:00,2026-03-13 15:45:00,3.04,2026-03-18 11:00:16.478663
27315619387,2026-03-13 16:45:00,2026-03-13 16:45:00,2.28,2026-03-18 11:00:16.478663
27315619388,2026-03-13 17:45:00,2026-03-13 17:45:00,1.46,2026-03-18 11:00:16.478663
27315619389,2026-03-13 18:45:00,2026-03-13 18:45:00,0.96,2026-03-18 11:00:16.478663
27315619390,2026-03-13 19:45:00,2026-03-13 19:45:00,1.07,2026-03-18 11:00:16.478663
27315619391,2026-03-13 20:45:00,2026-03-13 20:45:00,1.78,2026-03-18 11:00:16.478663
27315619392,2026-03-13 21:45:00,2026-03-13 21:45:00,2.8,2026-03-18 11:00:16.478663
27315619393,2026-03-13 22:45:00,2026-03-13 22:45:00,3.43,2026-03-18 11:00:16.478663
27315619394,2026-03-13 23:45:00,2026-03-13 23:45:00,3.98,2026-03-18 11:00:16.478663
27315619395,2026-03-14 00:45:00,2026-03-14 00:45:00,4.22,2026-03-18 11:00:16.478663
27315619396,2026-03-14 01:45:00,2026-03-14 01:45:00,4.35,2026-03-18 11:00:16.478663
27315619397,2026-03-14 02:45:00,2026-03-14 02:45:00,4.14,2026-03-18 11:00:16.478663
27315619398,2026-03-14 03:45:00,2026-03-14 03:45:00,3.75,2026-03-18 11:00:16.478663
27315619399,2026-03-14 04:45:00,2026-03-14 04:45:00,3,2026-03-18 11:00:16.478663
27315619400,2026-03-14 05:45:00,2026-03-14 05:45:00,2.09,2026-03-18 11:00:16.478663
27315619401,2026-03-14 06:45:00,2026-03-14 06:45:00,1.31,2026-03-18 11:00:16.478663
27315619402,2026-03-14 07:45:00,2026-03-14 07:45:00,0.76,2026-03-18 11:00:16.478663
27315619403,2026-03-14 08:45:00,2026-03-14 08:45:00,0.82,2026-03-18 11:00:16.478663
27315619404,2026-03-14 09:45:00,2026-03-14 09:45:00,1.68,2026-03-18 11:00:16.478663
27315619405,2026-03-14 10:45:00,2026-03-14 10:45:00,2.66,2026-03-18 11:00:16.478663
27315619406,2026-03-14 11:45:00,2026-03-14 11:45:00,3.35,2026-03-18 11:00:16.478663
27315619407,2026-03-14 12:45:00,2026-03-14 12:45:00,3.75,2026-03-18 11:00:16.478663
27315619408,2026-03-14 13:45:00,2026-03-14 13:45:00,3.96,2026-03-18 11:00:16.478663
27315619409,2026-03-14 14:45:00,2026-03-14 14:45:00,3.95,2026-03-18 11:00:16.478663
27315619410,2026-03-14 15:45:00,2026-03-14 15:45:00,3.58,2026-03-18 11:00:16.478663
27315619411,2026-03-14 16:45:00,2026-03-14 16:45:00,2.92,2026-03-18 11:00:16.478663
27315619412,2026-03-14 17:45:00,2026-03-14 17:45:00,2.5,2026-03-18 11:00:16.478663
27315619413,2026-03-14 18:45:00,2026-03-14 18:45:00,1.52,2026-03-18 11:00:16.478663
27315619414,2026-03-14 19:45:00,2026-03-14 19:45:00,1.08,2026-03-18 11:00:16.478663
27315619415,2026-03-14 20:45:00,2026-03-14 20:45:00,1.19,2026-03-18 11:00:16.478663
27315619416,2026-03-14 21:45:00,2026-03-14 21:45:00,1.57,2026-03-18 11:00:16.478663
27315619417,2026-03-14 22:45:00,2026-03-14 22:45:00,2.2,2026-03-18 11:00:16.478663
27315619418,2026-03-14 23:45:00,2026-03-14 23:45:00,2.88,2026-03-18 11:00:16.478663
27315619419,2026-03-15 00:45:00,2026-03-15 00:45:00,3.47,2026-03-18 11:00:16.478663
27315619420,2026-03-15 01:45:00,2026-03-15 01:45:00,3.74,2026-03-18 11:00:16.478663
27315619421,2026-03-15 02:45:00,2026-03-15 02:45:00,3.77,2026-03-18 11:00:16.478663
27315619422,2026-03-15 03:45:00,2026-03-15 03:45:00,3.46,2026-03-18 11:00:16.478663
27315619423,2026-03-15 04:45:00,2026-03-15 04:45:00,2.8,2026-03-18 11:00:16.478663
27315619424,2026-03-15 05:45:00,2026-03-15 05:45:00,2.09,2026-03-18 11:00:16.478663
27315619425,2026-03-15 06:45:00,2026-03-15 06:45:00,1.28,2026-03-18 11:00:16.478663
27315619426,2026-03-15 07:45:00,2026-03-15 07:45:00,0.54,2026-03-18 11:00:16.478663
27315619427,2026-03-15 08:45:00,2026-03-15 08:45:00,0.09,2026-03-18 11:00:16.478663
27315619428,2026-03-15 09:45:00,2026-03-15 09:45:00,0.22,2026-03-18 11:00:16.478663
27315619429,2026-03-15 10:45:00,2026-03-15 10:45:00,1,2026-03-18 11:00:16.478663
27315619430,2026-03-15 11:45:00,2026-03-15 11:45:00,1.55,2026-03-18 11:00:16.478663
27315619431,2026-03-15 12:45:00,2026-03-15 12:45:00,2.23,2026-03-18 11:00:16.478663
27315619432,2026-03-15 13:45:00,2026-03-15 13:45:00,2.89,2026-03-18 11:00:16.478663
27315619433,2026-03-15 14:45:00,2026-03-15 14:45:00,3.26,2026-03-18 11:00:16.478663
27315619434,2026-03-15 15:45:00,2026-03-15 15:45:00,3.29,2026-03-18 11:00:16.478663
27315619435,2026-03-15 16:45:00,2026-03-15 16:45:00,3.15,2026-03-18 11:00:16.478663
27315619436,2026-03-15 17:45:00,2026-03-15 17:45:00,2.82,2026-03-18 11:00:16.478663
27315619437,2026-03-15 18:45:00,2026-03-15 18:45:00,2.29,2026-03-18 11:00:16.478663
27315619438,2026-03-15 19:45:00,2026-03-15 19:45:00,1.69,2026-03-18 11:00:16.478663
27315619439,2026-03-15 20:45:00,2026-03-15 20:45:00,1.34,2026-03-18 11:00:16.478663
27315619440,2026-03-15 21:45:00,2026-03-15 21:45:00,1.25,2026-03-18 11:00:16.478663
27315619441,2026-03-15 22:45:00,2026-03-15 22:45:00,1.55,2026-03-18 11:00:16.478663
27315619442,2026-03-15 23:45:00,2026-03-15 23:45:00,2.01,2026-03-18 11:00:16.478663
27315619443,2026-03-16 00:45:00,2026-03-16 00:45:00,2.88,2026-03-18 11:00:16.478663
27315619444,2026-03-16 01:45:00,2026-03-16 01:45:00,3.47,2026-03-18 11:00:16.478663
