fecha,altura
2026-05-01 05:51:00,1.32
2026-05-01 12:00:00,8.60
2026-05-01 18:16:00,1.27
2026-05-02 00:21:00,8.42
2026-05-02 06:32:00,1.35
2026-05-02 12:38:00,8.60
2026-05-02 18:56:00,1.21
2026-05-03 00:58:00,8.37
2026-05-03 07:10:00,1.49
2026-05-03 13:12:00,8.51
2026-05-03 19:32:00,1.24
2026-05-04 01:34:00,8.22
2026-05-04 07:44:00,1.69
2026-05-04 13:45:00,8.35
2026-05-04 20:06:00,1.34
2026-05-05 02:08:00,8.01
2026-05-05 08:17:00,1.91
2026-05-05 14:16:00,8.17
2026-05-05 20:39:00,1.47
2026-05-06 02:41:00,7.78
2026-05-06 08:49:00,2.13
2026-05-06 14:48:00,7.97
2026-05-06 21:13:00,1.61
2026-05-07 03:16:00,7.54
2026-05-07 09:23:00,2.31
2026-05-07 15:22:00,7.78
2026-05-07 21:50:00,1.74
2026-05-08 03:53:00,7.33
2026-05-08 10:03:00,2.45
2026-05-08 16:00:00,7.58
2026-05-08 22:32:00,1.87
2026-05-09 04:36:00,7.14
2026-05-09 10:48:00,2.54
2026-05-09 16:46:00,7.38
2026-05-09 23:20:00,1.98
2026-05-10 05:27:00,7.00
2026-05-10 11:40:00,2.57
2026-05-10 17:42:00,7.20
2026-05-11 00:13:00,2.04
2026-05-11 06:29:00,6.97
2026-05-11 12:38:00,2.50
2026-05-11 18:50:00,7.12
2026-05-12 01:09:00,2.03
2026-05-12 07:38:00,7.11
2026-05-12 13:38:00,2.33
2026-05-12 20:03:00,7.22
2026-05-13 02:07:00,1.93
2026-05-13 08:44:00,7.42
2026-05-13 14:38:00,2.05
2026-05-13 21:10:00,7.50
2026-05-14 03:04:00,1.76
2026-05-14 09:42:00,7.84
2026-05-14 15:37:00,1.70
2026-05-14 22:09:00,7.85
2026-05-15 04:01:00,1.56
2026-05-15 10:34:00,8.28
2026-05-15 16:34:00,1.33
2026-05-15 23:02:00,8.20
2026-05-16 04:55:00,1.35
2026-05-16 11:23:00,8.67
2026-05-16 17:28:00,1.01
2026-05-16 23:51:00,8.48
2026-05-17 05:48:00,1.20
2026-05-17 12:10:00,8.94
2026-05-17 18:21:00,0.77
2026-05-18 00:38:00,8.65
2026-05-18 06:40:00,1.12
2026-05-18 12:56:00,9.07
2026-05-18 19:13:00,0.64
2026-05-19 01:25:00,8.69
2026-05-19 07:32:00,1.14
2026-05-19 13:42:00,9.05
2026-05-19 20:04:00,0.62
2026-05-20 02:13:00,8.60
2026-05-20 08:24:00,1.24
2026-05-20 14:29:00,8.87
2026-05-20 20:56:00,0.72
2026-05-21 03:02:00,8.41
2026-05-21 09:18:00,1.42
2026-05-21 15:19:00,8.58
2026-05-21 21:50:00,0.89
2026-05-22 03:55:00,8.15
2026-05-22 10:14:00,1.63
2026-05-22 16:12:00,8.22
2026-05-22 22:45:00,1.11
2026-05-23 04:53:00,7.89
2026-05-23 11:12:00,1.83
2026-05-23 17:13:00,7.86
2026-05-23 23:42:00,1.33
2026-05-24 05:58:00,7.69
2026-05-24 12:12:00,1.98
2026-05-24 18:21:00,7.59
2026-05-25 00:40:00,1.50
2026-05-25 07:08:00,7.62
2026-05-25 13:13:00,2.04
2026-05-25 19:32:00,7.49
2026-05-26 01:40:00,1.63
2026-05-26 08:14:00,7.70
2026-05-26 14:14:00,2.01
2026-05-26 20:38:00,7.54
2026-05-27 02:39:00,1.69
2026-05-27 09:13:00,7.86
2026-05-27 15:14:00,1.90
2026-05-27 21:37:00,7.69
2026-05-28 03:36:00,1.71
2026-05-28 10:04:00,8.03
2026-05-28 16:10:00,1.76
2026-05-28 22:28:00,7.83
2026-05-29 04:30:00,1.73
2026-05-29 10:50:00,8.15
2026-05-29 17:01:00,1.62
2026-05-29 23:14:00,7.93
2026-05-30 05:19:00,1.77
2026-05-30 11:32:00,8.21
2026-05-30 17:48:00,1.52
2026-05-30 23:56:00,7.95
2026-05-31 06:02:00,1.86
2026-05-31 12:10:00,8.20
2026-05-31 18:29:00,1.48
